sample_id,image_path,Sampling_Date,State,Species,Pre_GSHH_NDVI,Height_Ave_cm,target_name,target
ID1113121340__Dry_Clover_g,train/ID1113121340.jpg,2015/9/30,Vic,Phalaris_Clover,0.8,16.0,Dry_Clover_g,0.2931
ID1113121340__Dry_Dead_g,train/ID1113121340.jpg,2015/9/30,Vic,Phalaris_Clover,0.8,16.0,Dry_Dead_g,11.6271
ID1113121340__Dry_Green_g,train/ID1113121340.jpg,2015/9/30,Vic,Phalaris_Clover,0.8,16.0,Dry_Green_g,82.6598
ID1113121340__Dry_Total_g,train/ID1113121340.jpg,2015/9/30,Vic,Phalaris_Clover,0.8,16.0,Dry_Total_g,94.58
ID1113121340__GDM_g,train/ID1113121340.jpg,2015/9/30,Vic,Phalaris_Clover,0.8,16.0,GDM_g,82.9529
ID1113329413__Dry_Clover_g,train/ID1113329413.jpg,2015/6/29,Tas,WhiteClover,0.72,3.0,Dry_Clover_g,20.6523
ID1113329413__Dry_Dead_g,train/ID1113329413.jpg,2015/6/29,Tas,WhiteClover,0.72,3.0,Dry_Dead_g,21.1112
ID1113329413__Dry_Green_g,train/ID1113329413.jpg,2015/6/29,Tas,WhiteClover,0.72,3.0,Dry_Green_g,1.3768
ID1113329413__Dry_Total_g,train/ID1113329413.jpg,2015/6/29,Tas,WhiteClover,0.72,3.0,Dry_Total_g,43.1403
ID1113329413__GDM_g,train/ID1113329413.jpg,2015/6/29,Tas,WhiteClover,0.72,3.0,GDM_g,22.0291
ID1119739385__Dry_Clover_g,train/ID1119739385.jpg,2015/5/18,Tas,Ryegrass,0.28,4.0,Dry_Clover_g,0.0
ID1119739385__Dry_Dead_g,train/ID1119739385.jpg,2015/5/18,Tas,Ryegrass,0.28,4.0,Dry_Dead_g,3.0
ID1119739385__Dry_Green_g,train/ID1119739385.jpg,2015/5/18,Tas,Ryegrass,0.28,4.0,Dry_Green_g,6.8
ID1119739385__Dry_Total_g,train/ID1119739385.jpg,2015/5/18,Tas,Ryegrass,0.28,4.0,Dry_Total_g,9.8
ID1119739385__GDM_g,train/ID1119739385.jpg,2015/5/18,Tas,Ryegrass,0.28,4.0,GDM_g,6.8
ID1119761112__Dry_Clover_g,train/ID1119761112.jpg,2015/5/7,NSW,Fescue,0.42,4.0,Dry_Clover_g,0.0
ID1119761112__Dry_Dead_g,train/ID1119761112.jpg,2015/5/7,NSW,Fescue,0.42,4.0,Dry_Dead_g,32.4486
ID1119761112__Dry_Green_g,train/ID1119761112.jpg,2015/5/7,NSW,Fescue,0.42,4.0,Dry_Green_g,22.9514
ID1119761112__Dry_Total_g,train/ID1119761112.jpg,2015/5/7,NSW,Fescue,0.42,4.0,Dry_Total_g,55.4
ID1119761112__GDM_g,train/ID1119761112.jpg,2015/5/7,NSW,Fescue,0.42,4.0,GDM_g,22.9514
ID1121692672__Dry_Clover_g,train/ID1121692672.jpg,2015/2/24,NSW,Phalaris,0.52,38.0,Dry_Clover_g,0.0
ID1121692672__Dry_Dead_g,train/ID1121692672.jpg,2015/2/24,NSW,Phalaris,0.52,38.0,Dry_Dead_g,1.3958
ID1121692672__Dry_Green_g,train/ID1121692672.jpg,2015/2/24,NSW,Phalaris,0.52,38.0,Dry_Green_g,109.8042
ID1121692672__Dry_Total_g,train/ID1121692672.jpg,2015/2/24,NSW,Phalaris,0.52,38.0,Dry_Total_g,111.2
ID1121692672__GDM_g,train/ID1121692672.jpg,2015/2/24,NSW,Phalaris,0.52,38.0,GDM_g,109.8042
ID1127246618__Dry_Clover_g,train/ID1127246618.jpg,2015/5/18,Tas,Ryegrass,0.77,7.0,Dry_Clover_g,3.0196
ID1127246618__Dry_Dead_g,train/ID1127246618.jpg,2015/5/18,Tas,Ryegrass,0.77,7.0,Dry_Dead_g,25.8824
ID1127246618__Dry_Green_g,train/ID1127246618.jpg,2015/5/18,Tas,Ryegrass,0.77,7.0,Dry_Green_g,32.3529
ID1127246618__Dry_Total_g,train/ID1127246618.jpg,2015/5/18,Tas,Ryegrass,0.77,7.0,Dry_Total_g,61.2549
ID1127246618__GDM_g,train/ID1127246618.jpg,2015/5/18,Tas,Ryegrass,0.77,7.0,GDM_g,35.3725
ID112966473__Dry_Clover_g,train/ID112966473.jpg,2015/8/14,Vic,Ryegrass_Clover,0.74,3.0,Dry_Clover_g,11.2
ID112966473__Dry_Dead_g,train/ID112966473.jpg,2015/8/14,Vic,Ryegrass_Clover,0.74,3.0,Dry_Dead_g,2.8
ID112966473__Dry_Green_g,train/ID112966473.jpg,2015/8/14,Vic,Ryegrass_Clover,0.74,3.0,Dry_Green_g,19.6
ID112966473__Dry_Total_g,train/ID112966473.jpg,2015/8/14,Vic,Ryegrass_Clover,0.74,3.0,Dry_Total_g,33.6
ID112966473__GDM_g,train/ID112966473.jpg,2015/8/14,Vic,Ryegrass_Clover,0.74,3.0,GDM_g,30.8
ID1131079710__Dry_Clover_g,train/ID1131079710.jpg,2015/11/9,Tas,Clover,0.57,1.5,Dry_Clover_g,15.4794
ID1131079710__Dry_Dead_g,train/ID1131079710.jpg,2015/11/9,Tas,Clover,0.57,1.5,Dry_Dead_g,11.119
ID1131079710__Dry_Green_g,train/ID1131079710.jpg,2015/11/9,Tas,Clover,0.57,1.5,Dry_Green_g,1.5261
ID1131079710__Dry_Total_g,train/ID1131079710.jpg,2015/11/9,Tas,Clover,0.57,1.5,Dry_Total_g,28.1246
ID1131079710__GDM_g,train/ID1131079710.jpg,2015/11/9,Tas,Clover,0.57,1.5,GDM_g,17.0055
ID1136169672__Dry_Clover_g,train/ID1136169672.jpg,2015/5/18,Tas,Ryegrass,0.62,5.0,Dry_Clover_g,0.0
ID1136169672__Dry_Dead_g,train/ID1136169672.jpg,2015/5/18,Tas,Ryegrass,0.62,5.0,Dry_Dead_g,6.808
ID1136169672__Dry_Green_g,train/ID1136169672.jpg,2015/5/18,Tas,Ryegrass,0.62,5.0,Dry_Green_g,16.3107
ID1136169672__Dry_Total_g,train/ID1136169672.jpg,2015/5/18,Tas,Ryegrass,0.62,5.0,Dry_Total_g,23.1187
ID1136169672__GDM_g,train/ID1136169672.jpg,2015/5/18,Tas,Ryegrass,0.62,5.0,GDM_g,16.3108
ID1139866256__Dry_Clover_g,train/ID1139866256.jpg,2015/5/7,NSW,Fescue,0.66,13.0,Dry_Clover_g,0.0
ID1139866256__Dry_Dead_g,train/ID1139866256.jpg,2015/5/7,NSW,Fescue,0.66,13.0,Dry_Dead_g,83.8407
ID1139866256__Dry_Green_g,train/ID1139866256.jpg,2015/5/7,NSW,Fescue,0.66,13.0,Dry_Green_g,74.0593
ID1139866256__Dry_Total_g,train/ID1139866256.jpg,2015/5/7,NSW,Fescue,0.66,13.0,Dry_Total_g,157.9
ID1139866256__GDM_g,train/ID1139866256.jpg,2015/5/7,NSW,Fescue,0.66,13.0,GDM_g,74.0593
ID1139918758__Dry_Clover_g,train/ID1139918758.jpg,2015/8/21,WA,Clover,0.79,3.0,Dry_Clover_g,58.34
ID1139918758__Dry_Dead_g,train/ID1139918758.jpg,2015/8/21,WA,Clover,0.79,3.0,Dry_Dead_g,0.0
ID1139918758__Dry_Green_g,train/ID1139918758.jpg,2015/8/21,WA,Clover,0.79,3.0,Dry_Green_g,0.0
ID1139918758__Dry_Total_g,train/ID1139918758.jpg,2015/8/21,WA,Clover,0.79,3.0,Dry_Total_g,58.34
ID1139918758__GDM_g,train/ID1139918758.jpg,2015/8/21,WA,Clover,0.79,3.0,GDM_g,58.34
ID1140993511__Dry_Clover_g,train/ID1140993511.jpg,2015/8/14,Vic,Ryegrass_Clover,0.71,2.0,Dry_Clover_g,4.6
ID1140993511__Dry_Dead_g,train/ID1140993511.jpg,2015/8/14,Vic,Ryegrass_Clover,0.71,2.0,Dry_Dead_g,2.3
ID1140993511__Dry_Green_g,train/ID1140993511.jpg,2015/8/14,Vic,Ryegrass_Clover,0.71,2.0,Dry_Green_g,16.1
ID1140993511__Dry_Total_g,train/ID1140993511.jpg,2015/8/14,Vic,Ryegrass_Clover,0.71,2.0,Dry_Total_g,23.0
ID1140993511__GDM_g,train/ID1140993511.jpg,2015/8/14,Vic,Ryegrass_Clover,0.71,2.0,GDM_g,20.7
ID1148528732__Dry_Clover_g,train/ID1148528732.jpg,2015/8/18,Vic,Phalaris_Clover,0.86,3.2,Dry_Clover_g,12.4113
ID1148528732__Dry_Dead_g,train/ID1148528732.jpg,2015/8/18,Vic,Phalaris_Clover,0.86,3.2,Dry_Dead_g,0.0
ID1148528732__Dry_Green_g,train/ID1148528732.jpg,2015/8/18,Vic,Phalaris_Clover,0.86,3.2,Dry_Green_g,28.0887
ID1148528732__Dry_Total_g,train/ID1148528732.jpg,2015/8/18,Vic,Phalaris_Clover,0.86,3.2,Dry_Total_g,40.5
ID1148528732__GDM_g,train/ID1148528732.jpg,2015/8/18,Vic,Phalaris_Clover,0.86,3.2,GDM_g,40.5
ID1148666289__Dry_Clover_g,train/ID1148666289.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.81,3.5,Dry_Clover_g,4.0923
ID1148666289__Dry_Dead_g,train/ID1148666289.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.81,3.5,Dry_Dead_g,14.3231
ID1148666289__Dry_Green_g,train/ID1148666289.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.81,3.5,Dry_Green_g,21.4846
ID1148666289__Dry_Total_g,train/ID1148666289.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.81,3.5,Dry_Total_g,39.9
ID1148666289__GDM_g,train/ID1148666289.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.81,3.5,GDM_g,25.5769
ID1149598723__Dry_Clover_g,train/ID1149598723.jpg,2015/5/7,NSW,Lucerne,0.87,43.0,Dry_Clover_g,0.0
ID1149598723__Dry_Dead_g,train/ID1149598723.jpg,2015/5/7,NSW,Lucerne,0.87,43.0,Dry_Dead_g,5.3831
ID1149598723__Dry_Green_g,train/ID1149598723.jpg,2015/5/7,NSW,Lucerne,0.87,43.0,Dry_Green_g,58.3169
ID1149598723__Dry_Total_g,train/ID1149598723.jpg,2015/5/7,NSW,Lucerne,0.87,43.0,Dry_Total_g,63.7
ID1149598723__GDM_g,train/ID1149598723.jpg,2015/5/7,NSW,Lucerne,0.87,43.0,GDM_g,58.3169
ID1159071020__Dry_Clover_g,train/ID1159071020.jpg,2015/9/30,Vic,Phalaris_Clover,0.74,7.0,Dry_Clover_g,1.3191
ID1159071020__Dry_Dead_g,train/ID1159071020.jpg,2015/9/30,Vic,Phalaris_Clover,0.74,7.0,Dry_Dead_g,6.7982
ID1159071020__Dry_Green_g,train/ID1159071020.jpg,2015/9/30,Vic,Phalaris_Clover,0.74,7.0,Dry_Green_g,46.5727
ID1159071020__Dry_Total_g,train/ID1159071020.jpg,2015/9/30,Vic,Phalaris_Clover,0.74,7.0,Dry_Total_g,54.69
ID1159071020__GDM_g,train/ID1159071020.jpg,2015/9/30,Vic,Phalaris_Clover,0.74,7.0,GDM_g,47.8918
ID1163061745__Dry_Clover_g,train/ID1163061745.jpg,2015/6/29,Tas,WhiteClover,0.5,2.0,Dry_Clover_g,5.2
ID1163061745__Dry_Dead_g,train/ID1163061745.jpg,2015/6/29,Tas,WhiteClover,0.5,2.0,Dry_Dead_g,6.7
ID1163061745__Dry_Green_g,train/ID1163061745.jpg,2015/6/29,Tas,WhiteClover,0.5,2.0,Dry_Green_g,1.2
ID1163061745__Dry_Total_g,train/ID1163061745.jpg,2015/6/29,Tas,WhiteClover,0.5,2.0,Dry_Total_g,13.1
ID1163061745__GDM_g,train/ID1163061745.jpg,2015/6/29,Tas,WhiteClover,0.5,2.0,GDM_g,6.4
ID1168534540__Dry_Clover_g,train/ID1168534540.jpg,2015/5/7,NSW,Fescue,0.86,9.0,Dry_Clover_g,0.0
ID1168534540__Dry_Dead_g,train/ID1168534540.jpg,2015/5/7,NSW,Fescue,0.86,9.0,Dry_Dead_g,8.6892
ID1168534540__Dry_Green_g,train/ID1168534540.jpg,2015/5/7,NSW,Fescue,0.86,9.0,Dry_Green_g,55.6108
ID1168534540__Dry_Total_g,train/ID1168534540.jpg,2015/5/7,NSW,Fescue,0.86,9.0,Dry_Total_g,64.3
ID1168534540__GDM_g,train/ID1168534540.jpg,2015/5/7,NSW,Fescue,0.86,9.0,GDM_g,55.6108
ID1176292407__Dry_Clover_g,train/ID1176292407.jpg,2015/6/26,Tas,Ryegrass_Clover,0.5,3.0,Dry_Clover_g,0.1308
ID1176292407__Dry_Dead_g,train/ID1176292407.jpg,2015/6/26,Tas,Ryegrass_Clover,0.5,3.0,Dry_Dead_g,16.7365
ID1176292407__Dry_Green_g,train/ID1176292407.jpg,2015/6/26,Tas,Ryegrass_Clover,0.5,3.0,Dry_Green_g,9.022
ID1176292407__Dry_Total_g,train/ID1176292407.jpg,2015/6/26,Tas,Ryegrass_Clover,0.5,3.0,Dry_Total_g,25.8893
ID1176292407__GDM_g,train/ID1176292407.jpg,2015/6/26,Tas,Ryegrass_Clover,0.5,3.0,GDM_g,9.1528
ID1182523622__Dry_Clover_g,train/ID1182523622.jpg,2015/6/29,Tas,WhiteClover,0.48,2.0,Dry_Clover_g,3.1059
ID1182523622__Dry_Dead_g,train/ID1182523622.jpg,2015/6/29,Tas,WhiteClover,0.48,2.0,Dry_Dead_g,14.7193
ID1182523622__Dry_Green_g,train/ID1182523622.jpg,2015/6/29,Tas,WhiteClover,0.48,2.0,Dry_Green_g,0.6752
ID1182523622__Dry_Total_g,train/ID1182523622.jpg,2015/6/29,Tas,WhiteClover,0.48,2.0,Dry_Total_g,18.5004
